,0
book,price
30699210314,$ 4.26
30611095641,$ 22.02
30631549724,$ 13.66
30081528101,NULL
96728547,$ 11.97
9994028217,$ 7.50
30452707454,$ 6.49
30331447564,$ 8.40
30551096218,$ 13.27
30575356422,$ 4.19
30740332284,$ 4.70
22561590994,$ 10.50
30262334579,$ 18.62
30645418748,$ 20.00
30744590446,NULL
30519830708,$ 4.31
19559446,$ 12.50
30690941775,$ 3.60
7195463142,$ 5.88
30584465208,$ 4.00
30632190818,$ 4.19
30699596227,$ 3.98
30336147779,$ 8.31
20561629548,$ 4.19
30560237127,$ 13.82
3065816212,$ 8.00
22665761594,$ 8.99
30711911351,$ 4.19
12989079999,$ 5.99
30744100669,$ 5.10
7204212085,$ 4.60
20763549628,$ 11.97
30315259206,$ 2.99
30618449371,$ 4.19
21838804627,$ 15.00
30575376123,$ 3.61
22903497230,$ 1.00
30657354415,$ 3.80
30327696752,$ 10.42
20167376980,$ 32.50
30127701519,$ 11.45
30331824529,$ 28.95
30350286961,$ 24.38
22643675978,$ 3.98
30739281775,$ 4.98
208647507,$ 54.00
30699636526,$ 3.98
30718304854,$ 6.24
401064106,$ 6.00
30038764305,$ 2.95
30699107842,$ 3.94
30614464357,$ 169.88
30444237425,$ 35.00
30278214662,$ 5.78
744381506,$ 1.00
3486692753,$ 1.50
30699607140,$ 3.51
30739909979,$ 5.71
30171796156,$ 4.18
30688491824,$ 4.49
30407664192,$ 5.48
936183263,$ 4.67
30603251266,$ 10.00
22618053029,$ 3.00
14781987053,$ 15.00
22790827045,$ 20.00
30718198751,$ 26.54
30097124362,$ 8.50
16933703021,$ 1.00
30573253743,$ 14.48
22912234499,$ 7.49
30573818208,$ 47.00
22844622385,$ 8.00
30733482713,$ 23.45
30708525922,$ 9.93
30663995331,$ 8.00
18592289238,$ 10.00
30427437327,$ 24.87
30738820534,$ 9.43
30120915052,$ 4.25
30451867865,$ 8.46
30617153652,$ 3.00
30279070323,$ 4.27
30557455949,$ 1.00
332500200,$ 7.00
30644524153,$ 6.29
22574614745,$ 4.00
18817841822,$ 22.50
988184408,$ 17.60
22832596608,NULL
17224495014,$ 20.00
30396297462,$ 3.98
20836404026,$ 3.00
8750025355,$ 125.00
30035583277,$ 10.00
372101494,$ 3.75
30252606551,$ 12.00
30731346808,$ 4.34
30699465836,$ 3.98
30665810940,$ 12.00
22849748471,$ 4.99
30548474487,$ 5.19
30265798621,$ 33.34
15214784236,$ 5.25
30455557752,$ 4.47
30517743453,$ 3.18
30137470431,$ 8.00
30697802744,$ 3.69
14624563746,$ 5.20
30733433437,$ 4.00
17841460782,$ 25.00
30699590849,$ 3.98
30656595127,NULL
22414932296,$ 1.00
30651729029,$ 3.60
5467327846,$ 3.50
30650143310,$ 3.00
174123078,$ 16.50
30231752057,$ 4.55
30210813419,$ 3.69
30359727277,$ 19.95
1428828955,$ 1.50
22396068331,$ 6.49
30734269861,$ 4.77
30708388698,$ 4.19
21435012672,$ 13.12
30264424954,$ 3.69
30271636535,$ 42.87
30619188959,$ 2.00
21989645123,$ 7.00
5709075622,$ 25.00
30580856790,$ 3.25
30727955385,$ 3.98
30722925006,$ 4.19
30109825679,NULL
30577466750,$ 3.99
30739039039,$ 4.55
10634213556,$ 10.00
30724454461,$ 39.98
22543314165,$ 3.55
22413816038,$ 25.00
6281847943,$ 15.00
18356462011,$ 10.91
30305435577,$ 20.00
30734728448,$ 5.58
30709735179,$ 6.35
30697328697,$ 4.57
30738960471,$ 4.00
30699286058,$ 8.17
30689007217,$ 3.98
30046197905,$ 2.50
30137477805,$ 7.00
14094264197,$ 3.50
30629068276,$ 40.84
30731097466,$ 4.69
30607332863,$ 4.19
22862772844,$ 10.00
30724603773,$ 3.61
30230904477,$ 9.33
30739713862,$ 4.70
30728260211,$ 1.00
30049240809,$ 6.12
30688945248,$ 3.85
30669033753,$ 2.00
30650033577,$ 7.19
30012150326,$ 5.99
1157181464,$ 1.00
30602639459,$ 15.00
30264450895,$ 5.95
30737581156,$ 4.00
2845020490,$ 8.00
30669039982,$ 1.45
30343910155,$ 6.43
22773182451,$ 4.25
18584675456,$ 5.00
