book,publisher
30537882309,"Back Bay Bks / Little, Brown"
11230005921,"University Books, New York"
30641107562,Perfection Learning
30612308762,Dover
1332186599,"Review of Review Co, New York"
30219324066,Dover
30240773316,Thomas Y. Crowell Co.
2808967626,DELL BOOKS
16601861016,Mentor
30627202852,BiblioLife
30449762981,Ultimate Publishing Co.
8287033199,"Berkley Medallion, United States"
30698862500,Holt Rinehart & Winston
30443549242,"The Bobbs-Merrill Company, Inc."
30317299379,"Fourier o.J., Wiesbaden"
30220749798,"Candlelight Press, New York"
30081841788,Basic Books
30211999832,Courage Books
30380185734,"Pellegrini & Cudahy, Chicago"
22786083983,
30268660201,
30728311263,Ballantine
30738770497,
21303620300,Dell
30574893008,BBC Physical Audio
30137478272,Dover
30724605991,"Verulam Publishing Company, Minneapolis, MN"
30697482032,Gregg Press
30423330766,1979
30455054143,Turtleback Books
1189096663,"Pocket Books, New York"
30709623518,"Pocket Books, Inc."
17696362080,"N.Y. / New York: Zebra Books / Kensington Publishing, 1975, 1st Edition Thus, First Printing, New York, NY"
30747905988,Ballantine
30739507889,Dover
30623672915,"Robson Books, GB"
30107584278,Random House Publishing Group
30695379950,Routledge
30693780549,Bantam Classics
30666029271,Wadsworth Publishing
9841085388,"Fiction House, Inc./Love Romances Pub, USA."
22870036444,Berkley Publishing Corporation
30037646311,Centaur Press
30734796063,Penguin Classics
30699617283,HarperCollins
30739366106,
10143453335,"Grosset & Dunlap, New York"
30388205260,Spring Books
20786306689,"Heritage Press, NY"
22655464749,Ballantine
30265140479,
30697976951,Ace
30740102781,
30037829003,Steiner Books
30310719495,Ballantine
30610906983,St Shenouda Press
17113280935,Haldeman-Julius
30737755197,
22413833850,British Museum (Reprint)
30740302761,Penguin Publishing Group
30512664529,"Cerchio della Luna 0, Italy"
18881098334,The University of North Carolina Press
30741076802,Bantam Books
30610813171,Book Jungle
30297674658,Anchor Books
14461306502,A.W. Bruna & Zoon
30264707718,
30265656701,
30137568612,"ziff davis,"
18354419443,"Galaxy, NY"
30564861907,Bantam Classics
69200906,Ace
887444363,"Nelson Doubleday, Inc, Garden City, NY"
22446180899,"Bell Publishing Co., NY undated"
30687840922,Dover
22665761599,"Four Square Books., Great Britain, United Kingdom"
30503773406,Ace
14387395892,"Duell, Sloan and Pearce"
30575183071,EDGE Science Fiction and Fantasy Publishing
14760079735,Ballantine
30128892406,Pocket Books
9129035422,"English Assocation, London"
1167839056,Ace
30268990770,
30616155790,
30271300060,
30718318090,Del Rey
1276326196,Ballantine
30663647828,Dover
11672098347,None
30138198842,Wordsworth Editions
733629620,"Mellifont Press Jan 1954, London"
22832680654,"Pyramid Books, USA"
30081968584,DAW
30508728017,
30592961305,Pinnacle Books
22505002886,DAW
22864299824,Quirk Books
20901949556,"Leisure, NY"
30223640558,"Award Books, New York"
30737477296,Random House Publishing Group
4438884576,Berkley
22903503869,
30560226658,Published for the Paul Brunton Philosophic Foundation by Larson Publications
30265656702,
30716039028,
30608064210,Editora Ediouro
30526715675,"Galaxy, NY"
30697725272,Aegypan
22920435840,Pinnacle
18059780116,Dover
30467346924,Consul
30429627216,Penguin Publishing Group
30519370763,"Galaxy, NY"
30739093721,
30137524497,Ace
30720535119,Troll Communications Llc
30695691023,Dell Publishing
30492338849,"Lulu Press, Inc."
2668030251,"Jonathan Cape and Harrison Smith, New York"
9393539241,Dell
30635726921,"Washington Square, New York"
30536795653,Book Sales Inc
13242169842,J. W. Ferman / Fantasy House
30699210314,Scribner Paper Fiction
30611095641,Sagwan Press
30631549724,Independently Published
30081528101,Popular Library
96728547,"Doubleday, NY"
9994028217,"Duell, Sloan & Pearce Inc, New York"
30452707454,Dial
30331447564,Chilton
30551096218,ALIANZA EDITORIAL
30575356422,A Laurel Classic
