,0
book,JacketCondition
6289006299,NULL
12266457281,NULL
30551329039,NULL
30602596700,NULL
30602600347,NULL
12171562711,NULL
22481136212,NULL
30405177539,NULL
30551329918,NULL
5467367405,NULL
30551321663,NULL
5467383631,NULL
30551323572,NULL
30551321662,NULL
30551329920,NULL
4305883377,NULL
30645261991,NULL
30731166952,NULL
2795338706,NULL
2795338714,NULL
2795338709,NULL
3017673348,NULL
2795338708,NULL
30652085662,NULL
30694786234,NULL
30137524497,NULL
30137522520,NULL
30697066666,NULL
65621722,NULL
30137583216,NULL
22420037360,NULL
30137583215,NULL
30137586947,NULL
30137578747,NULL
30137584218,NULL
15525798769,NULL
993818640,NULL
5668269971,NULL
1164652848,NULL
30166349804,NULL
30357467437,NULL
4438884273,NULL
30448833700,NULL
30472018964,NULL
30744569549,NULL
22655928280,NULL
30352890913,NULL
22823885732,NULL
30352887123,NULL
30231736183,NULL
22841959913,NULL
1166217257,NULL
30137473206,NULL
30137470431,NULL
30137470432,NULL
30137476934,NULL
30137476039,NULL
30137468882,NULL
30137471356,NULL
30536785316,NULL
22494417343,NULL
30137476938,NULL
30137478755,NULL
30137480261,NULL
30137469767,NULL
30137479608,NULL
30137484921,NULL
30137478756,NULL
30137484918,NULL
30137477794,NULL
30625921060,NULL
30744771933,NULL
30282662798,NULL
21839919368,NULL
22504946651,NULL
30618763587,NULL
30699598439,NULL
30137469766,NULL
30137470433,NULL
30137470434,NULL
30137473208,NULL
30137475092,NULL
30137476040,NULL
30137476935,NULL
30137473207,NULL
30719266424,NULL
30209626065,NULL
30149718025,NULL
30697373833,NULL
30217834094,NULL
30699291283,NULL
30137472309,NULL
14084146570,NULL
30354962551,NULL
346777536,NULL
1945207067,NULL
30531690291,NULL
16706186722,NULL
20652986678,NULL
30740460906,NULL
30601404684,NULL
30651526806,NULL
30706377099,NULL
30363873066,NULL
30456660081,NULL
30081930524,NULL
30031307482,NULL
30619589297,NULL
60871419,NULL
30038764305,NULL
1157901907,NULL
1046762509,NULL
30329104536,NULL
30330418502,NULL
22620328368,NULL
30327737189,NULL
5484849816,NULL
30337393588,NULL
30219709580,NULL
30327738198,NULL
207666135,NULL
30337394556,NULL
196947339,NULL
30321521903,NULL
30321519030,NULL
30311135997,NULL
22620328363,NULL
300673692,NULL
936865316,NULL
30337397226,NULL
22620328357,NULL
30337394555,NULL
20637175170,NULL
30450385803,NULL
30330414672,NULL
30646187673,NULL
16880343450,good
30605985359,NULL
22789582708,NULL
30714210676,NULL
362354844,NULL
30616978431,NULL
30617735453,NULL
30665812695,NULL
30692453401,NULL
30637127444,NULL
30637127442,NULL
30372419023,NULL
30494295552,NULL
30743896063,NULL
30729942575,NULL
22700559616,NULL
30636659476,NULL
22878023689,NULL
30300137402,NULL
30734678994,NULL
22745556161,NULL
22823910742,NULL
30748302051,NULL
