book,language
22890297791,0
30642614296,0
30692377212,0
22505124632,0
30696156597,0
22408988278,0
30699868421,0
30429723787,0
22582318092,0
27059037,0
30719364395,0
30175024279,0
2795338710,0
30699045077,0
18369566244,0
30220057175,0
30032906202,0
10253443391,4
30543697288,0
30667085532,0
22505003481,0
30627143714,0
30711961716,0
30179502854,0
30365542322,0
30735331325,0
381789268,0
30505774641,0
30644571045,0
30299235127,0
30405755303,0
21419752,0
16201619952,0
30605055028,0
30349208601,0
5334849969,0
586706972,0
30617831644,0
30641300922,0
30521947856,0
758139714,0
30384218741,0
898001281,0
30621936480,0
17475986893,0
15525845142,0
8644770135,0
30656874668,0
30697790977,0
22877616178,0
30733180192,0
30238555834,0
303692372,0
30538101288,0
30740199431,0
30662763775,0
22531841507,0
30706474914,0
362354844,0
30149718025,0
30737635312,0
30429270948,0
30255639397,0
30303597004,0
22844627983,0
30454911106,0
30733393192,0
30568676125,0
10236871331,0
30264905720,0
30249696297,0
22925602126,0
30116002775,0
30582848774,0
30080476038,0
30614250089,0
30520520867,0
30745836844,0
30615967183,0
17507276019,0
30740419510,0
30685044905,0
30722595391,0
30699080730,0
30609768171,0
30253520540,0
22844627890,0
30575684620,0
30741989918,0
30699300574,0
30747254267,0
30699080560,0
2713065618,0
219907698,0
22817138505,0
30594237582,0
30324835559,0
30620683091,0
30137602972,0
9405403007,0
30109149713,0
30577418637,0
30647249176,0
30551329039,0
20572902642,0
30118845605,0
30739756250,0
30748178759,0
30742101855,0
30405504481,0
30053817990,0
20673321153,0
30746115884,0
30536870648,0
30367168499,0
18572144197,0
30753139562,0
1368030828,0
30563331262,0
30271232517,0
30617505148,0
30602369998,0
30699267039,0
3828386155,0
30738609545,0
18075627086,0
22920888415,0
14461313120,0
1270420421,0
8942623395,0
9742411646,0
30733533960,0
30272466981,0
609409907,0
30404064304,0
30663797167,0
16588001628,0
30137479617,0
22540662528,0
30571379234,0
30666176752,0
30665131907,0
30611167775,0
1039445753,0
30711729066,0
30694786234,0
30412935345,0
30601110970,0
30525229390,0
5428788399,0
30704210286,0
1207397416,0
22819962348,0
30041453422,0
30487834402,0
30744570455,0
17515521501,0
30693672779,0
152665796,0
22408985163,0
17922142412,0
19972923403,0
98716627,0
30210928493,0
10042376522,0
12481311843,0
30358520547,0
30278901984,0
30137483087,0
30137467240,0
30548120455,0
30663429107,0
30697853025,0
30290118605,0
30744317539,0
30615832236,0
30345446183,0
30288842132,0
30536903962,0
30736427041,0
641902420,0
30381126611,0
30573039059,0
30697861109,0
18518594470,0
17834158761,0
2780155689,0
30354638602,0
30166317999,0
30649338159,0
22256856990,0
880572285,0
30025550703,0
30722939150,0
30132927534,0
21053898505,0
30237339011,0
30619264087,0
30470510220,0
14781988251,0
30496814437,0
30660746851,0
30628688820,0
9177465481,0
22867333687,0
792263735,0
13911965627,1
12613821190,0
30692887045,0
30743842382,0
22408991012,0
30738616102,0
30750813660,0
832410435,0
12059030439,0
30718111523,0
30637008458,0
22896984656,0
30283016423,0
30230418521,0
1174609542,0
30614228548,0
30411497940,0
197729822,0
22629703149,0
30533825586,0
30553181776,3
30584870242,0
30471017317,0
30137527023,0
1329938319,0
30247852244,0
30587976048,0
30234311335,0
30556625638,0
30743846080,0
30606964444,0
30456996157,0
30425835720,0
22845474495,0
30080065810,0
30697849688,0
30732922681,0
30553012691,0
30343295167,0
30699166666,0
30587556695,0
12582942135,0
30715383922,0
987184342,0
1083466282,0
30737771175,0
19342717713,0
30725369374,0
30621255723,0
30342544214,0
30271155128,0
30234056309,0
30740769467,0
9061568763,0
22516161984,0
30723750082,0
16239547366,0
12220754484,0
30711924640,0
30694503032,0
30450498742,0
30740770834,0
30711982418,0
30740677926,0
30737369099,0
22854045635,0
30657359046,0
30688805911,0
30120580011,0
5642072649,0
30748223212,0
30430422077,0
30748470616,0
2845020492,0
30220750658,0
30464063991,0
30557212002,0
30711835943,0
30575196945,0
30310716799,0
30616208200,0
30734078769,0
30723874912,0
22607281731,0
30740761903,0
1425230416,0
30547846221,0
15188396493,0
30623910462,0
226751730,0
30327159411,0
9695135519,0
30739024316,0
30310719623,0
30494040732,0
30137546438,0
30310717455,0
30602596700,0
30626762830,0
30749398161,0
30556301377,0
4785261960,0
30043819116,0
30577538311,0
30174848077,0
30740254160,0
30662679638,0
30370986346,0
15453811073,0
30720953992,0
30739835435,0
30662759031,0
30422383221,0
18720729558,0
30732993858,0
30739714864,0
16776959296,0
30137539543,0
8812749032,0
17004357783,0
30747916416,0
17004357656,0
22900795027,0
30259629672,0
21733240388,0
30663106817,0
22420043329,0
30699607262,0
30707076242,0
30668426902,0
30699272601,0
18440112995,0
22420065033,0
30577410741,0
30616978431,0
15039149220,0
30622250736,0
22823700639,0
22506238387,0
30699303224,0
2786898050,0
30614157218,0
19586146168,0
17683652843,0
30230570919,0
30740281702,0
30266561255,0
30728439724,0
30737115307,0
30620265038,0
30705914204,0
30590813161,0
30276548629,0
30699012964,0
21031779900,0
30277064592,0
30324134990,0
30073791822,0
22539795352,0
30618902668,0
30082091534,0
15517305565,0
30515188131,0
30699603832,0
30301439914,0
30267868874,0
30604991902,0
30737944945,0
30647053255,0
30324230737,0
30591576566,0
30027527767,0
16881755652,0
30504798481,0
30278697293,0
30577375783,0
22020192322,0
172778114,0
30652780972,0
30630997831,0
11924291735,0
30715057262,0
30705597817,0
77404867,0
30410509355,0
30710507613,0
30137565836,0
30727848969,0
30252653307,0
30137544965,0
16794748174,0
30647532444,0
12754088828,0
30699123894,0
30257722657,0
22505003916,0
30725400752,0
22020192669,0
22849166915,0
19650898911,0
30564375343,0
30665007865,0
30666949187,0
12901440996,0
13568994103,0
22589529202,0
8086171188,0
30740668863,0
30554314302,0
30739522717,0
30357161682,0
22578928888,0
30598056380,0
30086149946,0
30601364324,0
19247665284,0
30339603406,0
30339141978,0
30636806157,0
30531355051,0
30688968393,0
11488336857,0
30040431929,0
18289073181,0
30357684266,0
30656825065,0
30642465549,0
30520534108,0
5766052571,0
30698947950,0
30723884338,0
30239175924,0
30310717360,0
30611199162,0
30604164320,0
30736436596,0
434818342,0
4749812165,0
153620084,0
30224374603,0
30650532245,0
30210709685,0
5812643104,0
30187959914,0
22524110709,0
22629698800,0
17146192626,0
30582859116,0
30643301988,0
30475795560,0
5064367117,0
30609761065,0
30282156992,0
30656854583,0
22420041434,0
30404725968,0
10448242450,0
30617429147,0
22505124663,0
30716888222,0
30663306778,0
30661516953,0
30551324251,0
30594560684,0
30276686276,0
30688425007,0
178644568,0
30721450164,0
30697334366,0
12220754483,0
22763476504,0
30137497304,0
22773467887,0
30359761004,0
30210826294,0
30662797376,0
30743291182,0
22388352252,0
1428681247,0
22418989022,0
30267980828,0
30741854154,0
1094685496,0
30552011094,0
30739812948,0
5809421567,1
15296155760,0
30001185666,0
30745478103,0
30714488513,0
30739337665,0
30405814296,0
11921901893,0
14123108877,0
30452635812,0
16594898283,0
827075202,0
30646844413,0
22786084357,0
30299256422,0
30697334982,0
30738567671,0
30137492542,0
30688735121,0
30137482099,0
30667605177,0
30551329919,0
30137477799,0
22494581703,0
510203926,0
30359762770,0
30177639421,0
30737500130,0
30203650509,0
30452031717,0
30553673902,0
30219163913,0
30671534590,0
30137477188,0
30551327218,0
32484944,0
22505126581,0
30463166415,0
30102307085,0
30698614313,0
759353115,0
22883148735,0
30564447306,0
30052019485,0
30051995250,0
30605077590,0
30631158587,0
30210706071,0
9231494500,0
22877746570,0
30699640759,0
30727512746,0
22849748472,0
30582837181,0
30137482101,0
22020192317,0
30427235844,0
30519754020,0
17004356376,0
30745124005,0
30744480284,0
30303770291,0
30282663517,0
30277724965,0
30699302356,0
30359733132,0
30137470432,0
1050076925,0
