book,author
30137477799,78
22494581703,4
30359762770,8
30177639421,13
30737500130,17
30671534590,43
30551327218,1
22505126581,3
30463166415,43
22883148735,4
30564447306,54
30052019485,19
30051995250,26
30605077590,1
30210706071,21
30699640759,27
30727512746,40
30137482101,30
30519754020,54
30744480284,4
30303770291,29
30277724965,14
30699302356,9
30137470432,10
1050076925,141
5434713188,26
30741265710,54
30744676148,173
30749367213,11
9446226872,5
30749512889,1
30703863214,17
30335029127,11
30739671536,41
30575027483,20
30422560680,42
30295220403,14
10958554306,141
30037431563,40
30718268353,29
22540679446,3
30744360452,3
30711682997,3
30722032296,3
30209629952,74
30648085244,40
22398006214,3
30747505424,1
30720515973,54
30737600997,41
22649811785,174
30732884116,175
30694899047,176
30545371006,20
30610078216,177
30514506070,14
30728386662,1
30288224085,76
30739575571,41
30659371327,20
15212889762,143
22469282967,4
22497347076,49
30308118230,8
21470035489,46
30699083025,20
22803365843,1
30335451279,26
30172354943,8
30697558248,54
30137476837,30
30573987444,20
30626769991,20
327939150,3
30697811789,87
30137495373,33
30754204137,62
30594568946,29
22859119352,3
22867452406,4
30314116259,113
30431429515,79
30734513897,20
21365583773,26
30611203813,50
22618645416,49
30709559862,40
1417796350,69
30551326311,1
155172594,11
30746185146,35
30627702496,50
19902955218,4
30738979244,1
30717860531,1
30279114735,8
30727868009,46
30599717073,29
30084967398,21
30738796457,41
30371127849,3
30525203317,3
30362659750,52
30726458903,54
30718898476,4
22544960744,46
30351875071,11
30485861167,47
6774802303,11
30698062143,11
76653778,178
18755296648,8
30137480255,78
30599143993,21
30708880890,47
30418122151,21
2670096001,105
88327553,11
14883183612,5
22413833848,84
30635247144,3
30737203002,35
30571010489,4
30738128598,34
30347375805,21
30598997637,21
6671606916,4
30137479618,11
30744090765,20
30697479685,114
1262336806,11
823826811,11
22920926346,21
30657567652,21
30688818396,34
30739226607,16
30724611487,70
6774827957,11
20281396970,179
30697402055,21
30494967620,21
30090321729,180
30560890476,3
30670159069,63
30716346199,16
30686655750,63
30549948758,40
259393306,8
30590636428,52
30268138508,182
6852173344,183
18700796423,26
30700602654,26
30367928401,42
30662078309,46
15525884513,64
30363412655,156
10042376524,11
22747896299,107
30695482623,40
30088022273,52
30310722148,1
2407602013,8
30661486066,21
30137476840,30
30598180589,32
30129295518,184
30308236340,5
30411963799,185
30305888689,1
94519861,11
17890205038,1
6720955321,4
16749435712,8
30558258256,54
30667882603,16
30722957322,54
30721865990,5
30137484927,78
30282131848,29
30564253149,29
17004357813,11
30365055909,12
30137481202,30
19145849020,4
30137477795,30
30697329424,21
30134097931,3
6793087050,26
30740867071,8
22475700155,4
30137479601,30
11027458707,10
30606543976,8
18699473879,3
22480032383,4
5484830767,11
30137483089,30
30741298999,62
21273882548,19
30669690974,69
30632416822,20
30747624342,13
11951132699,3
22620328193,26
30249733564,14
30625457937,123
22589996211,34
23347917,26
30575422189,79
30733271381,34
30056368851,53
30698911914,54
6774831461,11
22911581502,3
30137479595,30
30446347867,186
30566799011,20
22882376833,169
30649394510,71
30440961343,187
30708428180,42
30335299628,59
30021888024,40
22776531295,26
30732382415,52
30661426232,20
30643301298,20
30663998837,17
30566395557,40
30718892162,40
30693678277,20
30697783667,2
30264150246,52
22850478661,8
725518600,26
30697784329,114
30149752476,5
1291625187,11
30304411837,11
30738065112,35
30626884269,1
21812617125,52
30631499935,135
30738384022,41
30739224154,41
30425777712,20
30745575567,29
30699602826,3
30605121106,11
30738270795,1
30616206782,40
30486341635,3
30463813067,1
30554202393,5
30517564360,4
30743825673,21
22556392789,26
30697828815,39
30642721549,63
30740961801,29
30315885052,46
30628663840,19
30323050357,156
30604418718,19
30722632343,40
30698789434,21
12595774363,8
12799998270,29
5635577810,4
9477585662,42
30720814540,14
30728102403,14
30109403164,46
30603857613,21
30737913493,34
22759302953,4
30261350207,46
157218794,4
30641990164,17
1236548815,4
30740059404,90
12056998540,26
22900738198,16
30230518210,188
30614128247,3
12736795864,52
30342961175,52
30762259774,189
22846008017,190
11883869079,16
30528876994,42
21975745554,29
30619972103,10
30607542797,26
30699255356,40
14461303775,26
30753148046,79
1171065231,26
30137484911,30
30697784165,167
30752321497,113
30699591144,27
30699614797,114
30699355829,27
30655650559,8
30575356497,36
1116721741,58
30137494432,4
30732848686,40
30627111052,50
30113312455,99
30747254216,11
30330418502,1
30664413569,32
30137480256,78
30745045120,17
226751724,11
30617377986,20
30697786640,28
30599987689,191
30750310840,192
30679249211,11
30059052774,16
22575683919,42
30292993144,42
30731349001,40
30082670605,92
30239916178,54
30348963012,21
30664854064,34
30697842653,27
30635514413,52
30617473765,5
30703866098,40
30636310855,193
22701889744,42
22572746414,52
30652642578,21
30697298617,194
30268654707,182
30712476245,20
30508635548,3
30697373860,25
